Close,Date
146.899994,2014-05-05
145.149994,2014-05-06
144.600006,2014-05-07
142.550003,2014-05-08
145.050003,2014-05-09
144.800003,2014-05-12
146.649994,2014-05-13
147.300003,2014-05-14
144.300003,2014-05-15
144.649994,2014-05-16
150.550003,2014-05-19
153.800003,2014-05-20
153.0,2014-05-21
155.449997,2014-05-22
157.350006,2014-05-23
156.149994,2014-05-26
156.300003,2014-05-27
156.25,2014-05-28
149.0,2014-05-29
149.199997,2014-05-30
147.399994,2014-06-02
150.399994,2014-06-03
153.100006,2014-06-04
154.050003,2014-06-05
171.350006,2014-06-06
171.25,2014-06-09
174.699997,2014-06-10
169.5,2014-06-11
168.5,2014-06-12
163.600006,2014-06-13
166.0,2014-06-16
166.949997,2014-06-17
163.399994,2014-06-18
162.75,2014-06-19
162.25,2014-06-20
167.850006,2014-06-23
167.149994,2014-06-24
169.300003,2014-06-25
167.649994,2014-06-26
170.899994,2014-06-27
172.800003,2014-06-30
174.75,2014-07-01
174.350006,2014-07-02
169.25,2014-07-03
167.800003,2014-07-04
167.100006,2014-07-07
158.649994,2014-07-08
154.949997,2014-07-09
155.550003,2014-07-10
149.5,2014-07-11
152.050003,2014-07-14
153.5,2014-07-15
157.050003,2014-07-16
160.399994,2014-07-17
160.449997,2014-07-18
159.100006,2014-07-21
159.149994,2014-07-22
156.949997,2014-07-23
156.949997,2014-07-24
153.800003,2014-07-25
155.199997,2014-07-28
152.75,2014-07-30
154.199997,2014-07-31
154.199997,2014-08-01
155.899994,2014-08-04
154.800003,2014-08-05
153.899994,2014-08-06
154.199997,2014-08-07
150.300003,2014-08-08
151.649994,2014-08-11
154.25,2014-08-12
151.050003,2014-08-13
152.100006,2014-08-14
154.199997,2014-08-18
156.550003,2014-08-19
158.199997,2014-08-20
157.050003,2014-08-21
155.649994,2014-08-22
155.550003,2014-08-25
152.75,2014-08-26
153.050003,2014-08-27
150.899994,2014-08-28
153.449997,2014-09-01
155.600006,2014-09-02
154.300003,2014-09-03
162.199997,2014-09-04
162.149994,2014-09-05
164.850006,2014-09-08
165.149994,2014-09-09
162.300003,2014-09-10
167.449997,2014-09-11
169.300003,2014-09-12
167.199997,2014-09-15
159.399994,2014-09-16
161.600006,2014-09-17
164.850006,2014-09-18
168.5,2014-09-19
170.649994,2014-09-22
164.449997,2014-09-23
164.699997,2014-09-24
160.300003,2014-09-25
159.850006,2014-09-26
159.100006,2014-09-29
159.100006,2014-09-30
159.050003,2014-10-01
158.649994,2014-10-07
160.100006,2014-10-08
161.350006,2014-10-09
159.699997,2014-10-10
157.350006,2014-10-13
156.399994,2014-10-14
156.399994,2014-10-15
152.25,2014-10-16
153.649994,2014-10-17
154.449997,2014-10-20
155.399994,2014-10-21
156.350006,2014-10-22
156.399994,2014-10-27
156.649994,2014-10-28
157.449997,2014-10-29
157.5,2014-10-30
160.050003,2014-10-31
163.699997,2014-11-03
161.649994,2014-11-05
160.75,2014-11-07
157.800003,2014-11-10
158.050003,2014-11-11
156.149994,2014-11-12
154.5,2014-11-13
155.300003,2014-11-14
159.899994,2014-11-17
159.449997,2014-11-18
157.850006,2014-11-19
157.100006,2014-11-20
157.0,2014-11-21
157.149994,2014-11-24
154.25,2014-11-25
155.25,2014-11-26
161.100006,2014-11-27
161.149994,2014-11-28
159.550003,2014-12-01
163.350006,2014-12-02
163.199997,2014-12-03
163.300003,2014-12-04
161.149994,2014-12-05
158.149994,2014-12-08
154.649994,2014-12-09
155.949997,2014-12-10
155.350006,2014-12-11
153.0,2014-12-12
151.600006,2014-12-15
144.350006,2014-12-16
144.899994,2014-12-17
147.399994,2014-12-18
147.350006,2014-12-19
147.550003,2014-12-22
148.0,2014-12-23
147.399994,2014-12-24
146.75,2014-12-26
148.449997,2014-12-29
148.949997,2014-12-30
150.699997,2014-12-31
150.550003,2015-01-01
152.100006,2015-01-02
152.75,2015-01-05
148.050003,2015-01-06
148.199997,2015-01-07
153.25,2015-01-08
155.300003,2015-01-09
156.899994,2015-01-12
155.199997,2015-01-13
154.649994,2015-01-14
155.600006,2015-01-15
154.300003,2015-01-16
156.550003,2015-01-19
156.350006,2015-01-20
157.949997,2015-01-21
158.5,2015-01-22
161.050003,2015-01-23
159.199997,2015-01-27
158.649994,2015-01-28
158.350006,2015-01-29
158.699997,2015-01-30
163.600006,2015-02-02
160.300003,2015-02-03
158.399994,2015-02-04
154.600006,2015-02-05
152.550003,2015-02-06
149.550003,2015-02-09
151.550003,2015-02-10
154.199997,2015-02-11
154.800003,2015-02-12
157.0,2015-02-13
155.199997,2015-02-16
156.699997,2015-02-18
156.399994,2015-02-19
160.0,2015-02-20
155.800003,2015-02-23
155.25,2015-02-24
153.600006,2015-02-25
152.600006,2015-02-26
155.699997,2015-02-27
0.0,2015-02-28
158.350006,2015-03-02
163.149994,2015-03-03
158.5,2015-03-04
159.350006,2015-03-05
158.75,2015-03-09
157.25,2015-03-10
157.649994,2015-03-11
160.050003,2015-03-12
154.850006,2015-03-13
154.649994,2015-03-16
156.600006,2015-03-17
155.800003,2015-03-18
153.600006,2015-03-19
150.050003,2015-03-20
147.300003,2015-03-23
147.600006,2015-03-24
148.600006,2015-03-25
148.0,2015-03-26
145.899994,2015-03-27
149.949997,2015-03-30
149.100006,2015-03-31
151.149994,2015-04-01
151.350006,2015-04-06
151.149994,2015-04-07
151.850006,2015-04-08
152.149994,2015-04-09
161.199997,2015-04-10
161.550003,2015-04-13
159.25,2015-04-15
159.100006,2015-04-16
157.399994,2015-04-17
153.100006,2015-04-20
150.100006,2015-04-21
149.949997,2015-04-22
150.25,2015-04-23
147.449997,2015-04-24
142.0,2015-04-27
142.350006,2015-04-28
142.399994,2015-04-29
142.149994,2015-04-30
143.600006,2015-05-04
144.300003,2015-05-05
139.800003,2015-05-06
137.899994,2015-05-07
141.100006,2015-05-08
143.399994,2015-05-11
142.850006,2015-05-12
144.5,2015-05-13
146.100006,2015-05-14
146.850006,2015-05-15
147.899994,2015-05-18
147.5,2015-05-19
145.850006,2015-05-20
146.300003,2015-05-21
147.699997,2015-05-22
147.25,2015-05-25
148.600006,2015-05-26
148.75,2015-05-27
144.899994,2015-05-28
146.199997,2015-05-29
145.050003,2015-06-01
140.600006,2015-06-02
136.949997,2015-06-03
137.899994,2015-06-04
138.699997,2015-06-05
134.699997,2015-06-08
137.199997,2015-06-09
136.600006,2015-06-10
134.199997,2015-06-11
128.100006,2015-06-12
129.149994,2015-06-15
128.699997,2015-06-16
132.25,2015-06-17
132.5,2015-06-18
133.850006,2015-06-19
135.0,2015-06-22
133.75,2015-06-23
133.199997,2015-06-24
134.850006,2015-06-25
133.75,2015-06-26
129.800003,2015-06-29
